token,price,volume,market_cap,link
NiggaPay,$0.0003156,$1.9M,$315K,https://dexscreener.com/solana/3gprrnbmcdvparvchidk7kwp6sekj4csnhvp38zvbtcs
Swap,$0.0001564,$746K,$156K,https://dexscreener.com/solana/8eufkartpk2rwjcej7nppezalckdphwr1mu7jpgnadse
SPARK,$0.0008483,$7.4M,$840K,https://dexscreener.com/plasma/0xf5ef5e0f99d0be34b30332bdfbb639241be4c309
FF,$0.7576,$7.6M,$7.57B,https://dexscreener.com/ethereum/0x68131ea0840a4f5d3ae7bb8260e8d3e2a674a5f1
BBC,$0.0001000,$1.0M,$99K,https://dexscreener.com/solana/2yertpugiey7ets39gxztqszske7g5azkmtqlocwwjfi
wl,$0.0001931,$511K,$193K,https://dexscreener.com/solana/rmba4egbn7sud1gqkxm81x37gzjzwfzanjnafdcuuz3
Hardcore,$0.0001243,$520K,$124K,https://dexscreener.com/solana/2eqrztk9udttjwcj66ynq7zqqfsr1g6v6yv8fryc8tvk
beet,$0.0001637,$1.7M,$161K,https://dexscreener.com/solana/fa9eiz1cvsfrvbtyxzxuju4qvyfs9mb5j321u7qywifp
PERP,$0.0001511,$249K,$151K,https://dexscreener.com/solana/hh5j5ianvjmdf9slgxntg2lug1aqz7jazyh2fwuigxy6
eholmes,$0.0002583,$1.4M,$258K,https://dexscreener.com/solana/2rnqzwdkguy5t6yotmqpb53dtmongcvyfcqf4nyiuvfy
PWood,$0.0001274,$3.5M,$127K,https://dexscreener.com/solana/7qavtdya7dkrvp2vqd8uxvisgtkhbpv51c7zb1fwhzfv
1bit,$0.01900,$1.5M,$399K,https://dexscreener.com/solana/hmzvacgozsmcc6e42dvszxuqduyvn6srowruyjsnepdg
BABYASTER,$0.005002,$11.5M,$5.0M,https://dexscreener.com/bsc/0xb9615eb777dad42ce3e390d77fc0da550f9831de
NUB,$0.043106,$2.0M,$29K,https://dexscreener.com/solana/c2prexokkuifwnoq69ufac13g96yqqjt2pv5x3nozwql
₿,$0.044680,$568K,$46K,https://dexscreener.com/solana/3mjgcythbtjbfayhra1wzkcfkafd3ywiwjbx5wuoz6lm
PEPE,$0.043811,$304K,$38K,https://dexscreener.com/plasma/0xfc380c4cfad9b5077f57cbe50540254d3b25fd56
ROSCOE,$0.0001424,$262K,$142K,https://dexscreener.com/solana/2hhrvfrnkcccqvv6ldx2zu7gdvczdnmae9wu4fmmjyqs
AMN,$0.048134,$613K,$81K,https://dexscreener.com/bsc/0x460317a667d1a6fbe27f06eeeebd075666cc3703
Asterlite,$0.0001605,$2.8M,$160K,https://dexscreener.com/bsc/0x161449cb6d208f60fe540e3657a6e31ac22fe101
DUST,$0.008525,$3.4M,$8.5M,https://dexscreener.com/bsc/0xf089d5e30cef7616cabcda225545fa43c0723fbd
USDUF,$0.006551,$3.1M,$6.5M,https://dexscreener.com/bsc/0xb3421ad720032cf8e94c4197cc415a7316cd404f
SPT,$0.0001494,$1.5M,$144K,https://dexscreener.com/solana/ffjsbaezdpx8amqwdgvi91qscvjyyntzpdtdpwvw8oc1
PMGD,$0.0007511,$1.5M,$155K,https://dexscreener.com/plasma/0xcbd77e11b2c9c386a16a5bdafec4c1e37f5ae7c2
TOYS,$0.0001295,$1.2M,$129K,https://dexscreener.com/solana/b9d2k1wxsqmthnj1fqwc7hkxzzgcij5eaka1uybh27n
$NRG,$0.001304,$927K,$1.3M,https://dexscreener.com/solana/dfvdamktr9ruffmzhjxuhnl1utvzbgmtfyfnjagoqcgo
GOOPA,$0.048665,$1.3M,$86K,https://dexscreener.com/bsc/0xc4e6fc51f59c8d84046de635f473302ad8dc4603
PLX,$0.041439,$286K,$14K,https://dexscreener.com/plasma/0x4e91d442b519959fcfa8b46397aee3127e924192
PLENIS,$0.0007177,$1.2M,$717K,https://dexscreener.com/plasma/0xf226cf5aba654635b2b228201f3abb8a3a670b05
PRAGMA,$0.0001028,$353K,$102K,https://dexscreener.com/plasma/0xa042d00f50dcc4626ee623f54f641462ac977442
PRAGMA,$0.049322,$135K,$93K,https://dexscreener.com/plasma/0x173dcc9e2ef2cbf5e88ddad69e46f4d866eb24c9
nl,$0.005868,$490K,$5.8M,https://dexscreener.com/solana/7giiyaopzf1m9tyydtzjk8r9tm9xo938dsh8kovwua89
NIGGAHOUSE,$0.049821,$98K,$98K,https://dexscreener.com/solana/h2h7c2sz5sncgffrjrggjmtukbfvyaxupiufvhi5grvc
szn,$0.0004869,$26K,$486K,https://dexscreener.com/bsc/0x9b984a918a1a4ee86ad2ceccb15189958939048e
ORGASMA,$0.001058,$1.9M,$1.0M,https://dexscreener.com/plasma/0x5241f786e6058c2bd075af4d6955f63c52f848f5
PINU,$0.0001013,$120K,$101K,https://dexscreener.com/plasma/0x62f62413382e0829f3eb5ab4e218957012c6d17b
giganigga,$0.046856,$219K,$65K,https://dexscreener.com/solana/j51vzwddxamcckkcazwfgm172a38ej49fkfseklcee9t
Plankton,$0.049444,$65K,$94K,https://dexscreener.com/plasma/0x34cdce33de57b8f3f1757b46a8e438a47516f40a
bean,$0.0001064,$270K,$106K,https://dexscreener.com/solana/grk2w6a5kyeyzcztutunpsvc8gk8cfiij2kawi6kyoj1
GOR,$0.064770,$439K,$413K,https://dexscreener.com/plasma/0x333faec69cae918d97937bb304d949cee5e757e0
XRPEP3,$0.0001532,$382K,$153K,https://dexscreener.com/solana/e9bdlui4mjteotbchecgtgmpwstmixm43tejtfj8wita
BULL,$0.0008408,$951K,$840K,https://dexscreener.com/plasma/0x2ab5b043ad5ab58405e79cbe5028d8bfa867f990
PIPS,$0.0007171,$1.4M,$717K,https://dexscreener.com/plasma/0xc44984fac7ef3cc8fee9112d02e0a9390fe54e66
XPLT,$0.0001830,$248K,$180K,https://dexscreener.com/plasma/0x1b4e3ddc34da4ee5a90770d889b390d7c8ce83f1
STONK,$0.0002591,$121K,$259K,https://dexscreener.com/solana/xxczpipoiiwsky5w41jdphrh1fybqxyyy6q3y1mh9fv
AMN,$0.048098,$12K,$80K,https://dexscreener.com/bsc/0x57c7ce43e4f466c380ee1d28e3b8a18baf9a6562
HAT,$0.0005164,$2.0M,$516K,https://dexscreener.com/plasma/0x753868c611043cd97d180c9cdc11ab862a55e3fe
ROSCOE,$0.042453,$403K,$24K,https://dexscreener.com/solana/2vjeluqwh798f6c2ldyaz38votxndfejxbnmqedurnaa
UP,$0.001325,$2.2M,$1.3M,https://dexscreener.com/plasma/0x78e24041a8ef4ee44ace360f77235336440fb967
PKM,$0.045801,$102K,$116K,https://dexscreener.com/solana/2a4yqs9rsm4wgug2rhuqikghdwqzcvxukhfacstj9idv
🟧🟨🟩🟦🟪,$0.0006227,$563K,$622K,https://dexscreener.com/plasma/0x97adf8a4fda2dba1232e11cb24bb9551bf1f0bab
FF,$0.6788,$990K,$6.78B,https://dexscreener.com/ethereum/0xd4a2db2ee4abe4656fef330d219b249636b0705c148c91d0e74802bed6512f55
GIGGLE,$21.96,$9.9K,$21.9M,https://dexscreener.com/bsc/0x83d4c51bbdf158aaadb73ca0d771e05eb5f47ddd
JAK,$0.042143,$124K,$21K,https://dexscreener.com/plasma/0x1079d98078739032e47efd0b7888068f43497bca
Xploy,$0.049110,$25K,$91K,https://dexscreener.com/plasma/0xdab1d6f39a375e643752bd2c5a374a933cbeec72
HOLLYFUN,$0.055873,$406K,$5.8K,https://dexscreener.com/solana/gi2sas7al2fs9ariagzzuv4bhyfypceumutcgksgmqz3
PINU,$0.041189,$114K,$11K,https://dexscreener.com/plasma/0x7f432e005fe6ffbcaf1414f486028a55d8433e49
STABLECOIN,$0.043228,$508K,$31K,https://dexscreener.com/plasma/0xee6d883fd7bb16417cead039b9c512d53683956a
RTR,$0.4366,$30,$168K,https://dexscreener.com/bsc/0x799addc835adf7b74cd395ab38a38521e2026d0d
⭕⭕⭕✅⭕,$0.0005897,$445K,$589K,https://dexscreener.com/plasma/0x9f5b9240d74dd59e72f5b1fa61da84d91ed1b17d
Plasnova,$0.0003850,$233K,$79K,https://dexscreener.com/plasma/0xd5a663d10e45c8d01bd22158376f5a2951c905e7
🍆💦,$0.0005989,$371K,$598K,https://dexscreener.com/plasma/0xad43acdc16b0ca5c393a48d7179ff675d999899a
WAVE,$0.0004491,$339K,$449K,https://dexscreener.com/plasma/0xd1e1f2658291c08d6d90f42e453854fe2415517e
Xploy,$0.047076,$87K,$70K,https://dexscreener.com/plasma/0xed359e47db358b375b16792b251c1c56875229cf
COOPER,$0.059117,$176K,$9.1K,https://dexscreener.com/plasma/0x894235d20bc561cd70506852988fe7a4839d00e8
TILLY,$0.0006535,$100K,$653K,https://dexscreener.com/solana/d2itmfubxktqnmw5dyg5i6pcgefffq5ns1q3fwaw9fvu
WINTER,$0.0001501,$332K,$150K,https://dexscreener.com/plasma/0x52cfb3c4e942781e2c3193160e3c44cd40b89940
FF,$0.6846,$871K,$6.84B,https://dexscreener.com/ethereum/0xda3a10bfabe9087fd702c80e233a900c9be91e63d957e0fd8f90dcb2086e3554
MILK,$0.002994,$1.2M,$2.9M,https://dexscreener.com/plasma/0xc61fa0ab750f2d3b33b0a52958ea4055a738c399
🚀🌑,$0.0004791,$234K,$479K,https://dexscreener.com/plasma/0x23558ead003b46f272932f13c5e06b2d5909c9cf
Plankton,$0.042894,$72K,$28K,https://dexscreener.com/plasma/0x33540adba9ba9ae0d6891437f40af70997ce2f1d
CPTC,$0.043868,$99K,$38K,https://dexscreener.com/solana/7vvassffabvevkf56tcg6gcmutjjljsikfdwvdcevdpv
DANTE,$0.0001026,$29K,$102K,https://dexscreener.com/plasma/0x14b3cb1a6bc1c91a9058ddaccf46852d17b95ff8
tSAT,$0.001123,$18K,$23.58B,https://dexscreener.com/solana/hbyptnewrepfk2umavtfg8mfp9d8xye41ueo9wzo9ox4
TSWAP,$0.09404,$29K,$94K,https://dexscreener.com/plasma/0x530e8fc3eb06040821c3aeb81eb4862b5e4e1673
nl,$0.005786,$44K,$5.7M,https://dexscreener.com/solana/hcaelfdfuny32mbsqzmt4bi3jyfha7rcezatmttdfbrg
FUS,$0.004519,$244K,$677K,https://dexscreener.com/plasma/0x14e7cd64be9cf70ce97d05dff1256faa6cfdd3c5
FARTDAO,$0.0001340,$120K,$127K,https://dexscreener.com/solana/fuppa8xsmjrjpkujwetckdt8xqym1wtozzxprhlcykk5
WIN,$0.042964,$44K,$29K,https://dexscreener.com/pulsechain/0x79ea6d97a12cc30d3787d8b0834e91b43e1c1c86
MONEYNESS,$0.0001046,$171K,$104K,https://dexscreener.com/plasma/0x204ca688c834613b58e357df912b4eb8e3484d65
LEET,$0.003163,$1.9M,$3.1M,https://dexscreener.com/plasma/0xfa6c15fc45ac0ea3ab30dd9c702beef329e5a40a
INJECT,$0.0006679,$1.5M,$667K,https://dexscreener.com/plasma/0x5852eeef3dc7fe6035115fca40d0a7f041a28f39
🚨,$0.0004769,$139K,$248K,https://dexscreener.com/plasma/0xfa4954a35a55e2094b8518b1e6204e48031f9fb0
FM,$0.001261,$1.4M,$1.2M,https://dexscreener.com/plasma/0x39fe5533946e2928688666bed4a10965a38bcf8d
VFY,$0.006847,$133,$6.8M,https://dexscreener.com/polygon/0xa6dc8983769892273fc77c4d7b7ad8a0a0ad5e71
trillions,$0.3452,-,$345.2M,https://dexscreener.com/plasma/0x22862393a4b5d6822964a3f343b04a5a0787d40f
LOOK,$0.03839,$174,$35.4M,https://dexscreener.com/solana/b2vpuyfbyvxgfeckgvyakt4ee8troa9pftvoix3prwhp
nl,$0.005786,$50K,$5.7M,https://dexscreener.com/solana/2zvvseogunutajj3d9j5z2gwabxvx6yemhqwehhkrei7
DANTE,$0.042217,$388K,$22K,https://dexscreener.com/plasma/0x3997adc449076aaa7d3a5439aebb8aa9237bc3f1
NiggaPay,$0.0003001,$6.8K,$300K,https://dexscreener.com/solana/fxjutzbn7e3nxvzatd5dcqle7j9qqdkvn25xxmzm55f2
🕊️,$0.6466,$2,$646.6M,https://dexscreener.com/plasma/0x5e1d5e648e8fa0e54497fb6946df4f7405f768d5
NXS,$0.046291,$470K,$62K,https://dexscreener.com/solana/8dvprrnm3hjsfjhdwm8euwoc2p4pwlkoqhssyqht3stn
TEST,$0.08261,$36,$82.6M,https://dexscreener.com/plasma/0xb2114afa06246d4a05056c0c80e5b27ebe410b09
1,$0.007840,$3.7K,$7.8M,https://dexscreener.com/solana/hufu6rgara7smbuvyv7ye2kxu6j6sk2gnkmfeqnfbckx
BASED,$1.34,<$1,$1.34B,https://dexscreener.com/plasma/0x35b7f905b376adfa168cb128eb10e8d1d4f2679b
billions,$0.1009,$71,$100.9M,https://dexscreener.com/plasma/0x703bf8d2e07733c988245113ec1271c6e4994605
EDEN,$0.004489,$30,$4.4M,https://dexscreener.com/polygon/0xd06c989696e37094037de29abe33ed8d98e7acfc
PICK ONE,$0.0002312,$139K,$231K,https://dexscreener.com/plasma/0x30ccf1e0bcb5da054ae71219c9cc2f349b324f7d
KARMA,$0.001866,$26K,$1.8M,https://dexscreener.com/solana/5xcgv5ncdsanmu4zyfbc1mh3dys7sd41csjavyefxdj6
APU,$0.0001119,$4.3K,$222K,https://dexscreener.com/solana/j88i9xabdrawphc5zkmxrxjc3u6jcs91m7pxssg5aml8
USDai,$1.02,$396K,$59.5M,https://dexscreener.com/plasma/0xf440b7f604305cb100eb386af43f2b56c1cca15e
